komentar,komentar_bersih,setelah_preprocesing,setelah_normalisasi,setelah_normalisasi1
"menkeu ini berani banget memberikan kpi, jadi bisa kita tau tolak ukur kinerja saat ini tercapat atau tidak nya karena ada target. dpr singgung kpi bla bla bla, saya sebagai rakyat nanya ke dpr. kpi nya apa sebagai tolak ukur saat ini. baik itu pengesahaan ruu atau semacamnya. kalau misal gak bisa ngasih kpi berarti rakyat bisa nilai sendiri kan. kerjaannya seperti apa.",menkeu ini berani banget memberikan kpi jadi bisa kita tau tolak ukur kinerja saat ini tercapat atau tidak nya karena ada target dpr singgung kpi bla bla bla saya sebagai rakyat nanya ke dpr kpi nya apa sebagai tolak ukur saat ini baik itu pengesahaan ruu atau semacamnya kalau misal gak bisa ngasih kpi berarti rakyat bisa nilai sendiri kan kerjaannya seperti apa,menkeu berani banget kpi tau tolak ukur kinerja tercapat nya target dpr singgung kpi bla bla bla rakyat nanya dpr kpi nya tolak ukur pengesahaan ruu semacamnya gak ngasih kpi rakyat nilai kerjaannya,menkeu berani banget kpi tau tolak ukur kerja tercapat nya target dpr singgung kpi bla bla bla rakyat nanya dpr kpi nya tolak ukur pengesahaan ruu macam gak ngasih kpi rakyat nilai kerja,menkeu berani banget kpi tau tolak ukur kerja tercapat target dpr singgung kpi bla bla bla rakyat nanya dpr kpi tolak ukur pengesahaan ruu gak ngasih kpi rakyat nilai kerja
misbakhun mantan pegawai djp masuk dpr kayak bener aja,misbakhun mantan pegawai djp masuk dpr kayak bener aja,misbakhun mantan pegawai djp masuk dpr kayak bener aja,misbakhun mantan pegawai djp masuk dpr kayak bener aja,misbakhun mantan pegawai djp masuk dpr kayak bener
"file keuangan belum diraba sudah dicecar, semangat aja pak",file keuangan belum diraba sudah dicecar semangat aja pak,file keuangan diraba dicecar semangat aja,file uang raba cecar semangat aja,file uang raba cecar semangat
"pantas didaerah seret banget daya beli,,transfer ke daerah dikurangi,,sri sri",pantas didaerah seret banget daya belitransfer ke daerah dikurangisri sri,didaerah seret banget daya belitransfer daerah dikurangisri sri,daerah seret banget daya belitransfer daerah dikurangisri sri,daerah seret banget daya belitransfer daerah dikurangisri sri
berbelit kali. bole gk lgsg to the point nya saja pakkkkk! seru sikit napahhh,berbelit kali bole gk lgsg to the point nya saja pakkkkk seru sikit napahhh,berbelit kali bole gk lgsg to the point nya pakkkkk seru sikit napahhh,belit kali bole gk lgsg to the point nya pakkkkk seru sikit napahhh,belit kali bole lgsg to the point pakkkkk seru sikit napahhh
dpr sarang koruptor.,dpr sarang koruptor,dpr sarang koruptor,dpr sarang koruptor,dpr sarang koruptor
"misbakhun (pks) pernah jadi tersangka kasus menggondol dana bank century 6,7 trilyun, baru tau ini masih jadi anggota dpr yang terhormat, bahas anggaran pula.",misbakhun pks pernah jadi tersangka kasus menggondol dana bank century 67 trilyun baru tau ini masih jadi anggota dpr yang terhormat bahas anggaran pula,misbakhun pks tersangka menggondol dana bank century 67 trilyun tau anggota dpr terhormat bahas anggaran,misbakhun pks sangka gondol dana bank century 67 trilyun tau anggota dpr hormat bahas anggar,misbakhun pks sangka gondol dana bank century 67 trilyun tau anggota dpr hormat bahas anggar
"buset 20thn di komisi sebelas rapat gak tau data gimana maksudnya.??
ni dpr kerja apa tidur guoblok",buset 20thn di komisi sebelas rapat gak tau data gimana maksudnya ni dpr kerja apa tidur guoblok,buset 20thn komisi sebelas rapat gak tau data gimana maksudnya ni dpr kerja tidur guoblok,buset 20thn komisi sebelas rapat gak tau data gimana maksud ni dpr kerja tidur guoblok,buset 20thn komisi sebelas rapat gak tau data gimana maksud ni dpr kerja tidur guoblok
"sangat penting anggota dpr harus terdiri dari berbagai pakar atau keahlian keilmuan, seperti politik, hukum, ekonomi keuangan, perbankan filsafat,dll dengan berbagai ramifikasinya, dan komitment serta empati terhadap penderitaan rakyat dan tidak korup. jika tidak yah, seperti kini menjadi kasus, yaitu berjoget joget,",sangat penting anggota dpr harus terdiri dari berbagai pakar atau keahlian keilmuan seperti politik hukum ekonomi keuangan perbankan filsafatdll dengan berbagai ramifikasinya dan komitment serta empati terhadap penderitaan rakyat dan tidak korup jika tidak yah seperti kini menjadi kasus yaitu berjoget joget,anggota dpr pakar keahlian keilmuan politik hukum ekonomi keuangan perbankan filsafatdll ramifikasinya komitment empati penderitaan rakyat korup yah berjoget joget,anggota dpr pakar ahli ilmu politik hukum ekonomi uang perban filsafatdll ramifikasinya komitment empati derita rakyat korup yah joget joget,anggota dpr pakar ahli ilmu politik hukum ekonomi uang perban filsafatdll ramifikasinya komitment empati derita rakyat korup joget joget
tahu bulat digoreng dadakan😂😂,tahu bulat digoreng dadakan,bulat digoreng dadakan,bulat goreng dada,bulat goreng dada
bagaimana dgn tunjangan 300% buat mereka jajaran kemenkeu? koq tdk disoal pak dpr,bagaimana dgn tunjangan 300 buat mereka jajaran kemenkeu koq tdk disoal pak dpr,dgn tunjangan 300 jajaran kemenkeu koq tdk disoal dpr,dgn tunjang 300 jajar kemenkeu koq tdk soal dpr,tunjang 300 jajar kemenkeu koq dpr
intinya jgn ada korupsi lagi di pemeritahan dan kembalikan hasil korupsi atau dipaksa harus kembalikan hasil korupsi hukum mati atau sanksi yg sangat berat untuk mecegah pejabat² nakal..nkri merdeka jayaa👍👍💪💪,intinya jgn ada korupsi lagi di pemeritahan dan kembalikan hasil korupsi atau dipaksa harus kembalikan hasil korupsi hukum mati atau sanksi yg sangat berat untuk mecegah pejabat² nakalnkri merdeka jayaa,intinya jgn korupsi pemeritahan kembalikan hasil korupsi dipaksa kembalikan hasil korupsi hukum mati sanksi yg berat mecegah pejabat² nakalnkri merdeka jayaa,inti jgn korupsi pemeritahan kembali hasil korupsi paksa kembali hasil korupsi hukum mati sanksi yg berat mecegah jabat nakalnkri merdeka jayaa,inti korupsi pemeritahan hasil korupsi paksa hasil korupsi hukum mati sanksi berat mecegah jabat nakalnkri merdeka jayaa
"ini komisi xi dpr yg kena khasus csr bi, senua anggotanya udah ditangan kpk korupsi csr ratusan mikyar.jangan sok keras2 ke menkeu, ente sebentar lg maduk tahanan kpk.",ini komisi xi dpr yg kena khasus csr bi senua anggotanya udah ditangan kpk korupsi csr ratusan mikyarjangan sok keras2 ke menkeu ente sebentar lg maduk tahanan kpk,komisi xi dpr yg kena khasus csr bi senua anggotanya udah ditangan kpk korupsi csr ratusan mikyarjangan sok keras2 menkeu ente sebentar lg maduk tahanan kpk,komisi xi dpr yg kena khasus csr bi senua anggota udah tang kpk korupsi csr ratus mikyarjangan sok keras2 menkeu ente sebentar lg maduk tahan kpk,komisi xi dpr kena khasus csr bi senua anggota udah tang kpk korupsi csr ratus mikyarjangan keras2 menkeu ente sebentar lg maduk tahan kpk
12:19 emg enak ya mengkoreksi org lain. padahal dia nya kmren didemo gara2 jor-joran ngabisin duit negara 😂😂,1219 emg enak ya mengkoreksi org lain padahal dia nya kmren didemo gara2 jorjoran ngabisin duit negara,1219 emg enak ya mengkoreksi org nya kmren didemo gara2 jorjoran ngabisin duit negara,1219 emg enak ya koreksi org nya kmren demo gara2 jorjoran ngabisin duit negara,1219 emg enak ya koreksi org kmren demo gara2 jorjoran ngabisin duit negara
transparqn ngga  tuu jgn hanya di lingkungan rapat iya,transparqn ngga tuu jgn hanya di lingkungan rapat iya,transparqn ngga tuu jgn lingkungan rapat iya,transparqn ngga tuu jgn lingkung rapat iya,transparqn ngga tuu lingkung rapat iya
ya gusti allah lindungi lah pak purbaya salawasna aya solusi dari setiap permasalahan 😢🤲amin,ya gusti allah lindungi lah pak purbaya salawasna aya solusi dari setiap permasalahan 🤲amin,ya gusti allah lindungi purbaya salawasna aya solusi permasalahan 🤲amin,ya gusti allah lindung purbaya salawasna aya solusi masalah amin,ya gusti allah lindung purbaya salawasna aya solusi amin
kalo gini dpr keliatan pinter ya,kalo gini dpr keliatan pinter ya,kalo gini dpr keliatan pinter ya,kalo gin dpr liat pinter ya,kalo gin dpr liat pinter ya
"tolong buat anggota2 dpr bekerja lh dengan jujur, kalo tidak mau kejadian di nepal terjadi juga di indonesia.",tolong buat anggota2 dpr bekerja lh dengan jujur kalo tidak mau kejadian di nepal terjadi juga di indonesia,tolong anggota2 dpr lh jujur kalo kejadian nepal indonesia,tolong anggota2 dpr lh jujur kalo jadi nepal indonesia,tolong anggota2 dpr lh jujur kalo nepal indonesia
"menkeu baru ini apa alasan kok d pilih dia,,",menkeu baru ini apa alasan kok d pilih dia,menkeu alasan d pilih,menkeu alas d pilih,menkeu alas d pilih
nah klo saya pasti balikin ke dpr kpi dpr gimana sampai sekarang,nah klo saya pasti balikin ke dpr kpi dpr gimana sampai sekarang,klo balikin dpr kpi dpr gimana,klo balikin dpr kpi dpr gimana,klo balikin dpr kpi dpr gimana
kecil amat suaranya min,kecil amat suaranya min,suaranya min,suara min,suara min
"agar bisa tercapai 6-7% dpr dan semua jajaran yang lain nya harus puasa korupsi!!!
itu saja sebenarnya yang jadi masalah utama",agar bisa tercapai 67 dpr dan semua jajaran yang lain nya harus puasa korupsi itu saja sebenarnya yang jadi masalah utama,tercapai 67 dpr jajaran nya puasa korupsi utama,capai 67 dpr jajar nya puasa korupsi utama,capai 67 dpr jajar puasa korupsi utama
"ga malu2nya suru kmentrian efisiensi, sedangkan mereka aja ga mau efisiensi😂, seharusnya semua pihak melakukan efisiensi anggaran, seperti di pemda jabar",ga malu2nya suru kmentrian efisiensi sedangkan mereka aja ga mau efisiensi seharusnya semua pihak melakukan efisiensi anggaran seperti di pemda jabar,ga malu2nya suru kmentrian efisiensi aja ga efisiensi efisiensi anggaran pemda jabar,ga malu2nya suru kmentrian efisiensi aja ga efisiensi efisiensi anggar pemda jabar,malu2nya suru kmentrian efisiensi efisiensi efisiensi anggar pemda jabar
"pondasi ekonomi  yang disusun pendiri bangsa brilian sudah ada di di uud 1945, tinggal melaksanakan, penjabaran, pertumbuhan ekonomi bisa lebih dari 6% dirasakan langsung masyarakat paling bawah.",pondasi ekonomi yang disusun pendiri bangsa brilian sudah ada di di uud 1945 tinggal melaksanakan penjabaran pertumbuhan ekonomi bisa lebih dari 6 dirasakan langsung masyarakat paling bawah,pondasi ekonomi disusun pendiri bangsa brilian uud 1945 tinggal melaksanakan penjabaran pertumbuhan ekonomi 6 dirasakan langsung masyarakat,pondasi ekonomi susun diri bangsa brilian uud 1945 tinggal laksana jabar tumbuh ekonomi 6 rasa langsung masyarakat,pondasi ekonomi susun bangsa brilian uud 1945 tinggal laksana jabar tumbuh ekonomi 6 langsung masyarakat
"mau dari komisi manapun, anggota dpr yg duduk di kursi dari dulu selalu sibuk saling menyalahkan berbagai pihak ttg masalah teknikal lah, anggaran yg bocor & gak tepat sasaran, strategi yg kurang tepat lah blalablabla basi! semua orang dikambing hitamkan selain fraksi mereka sendiri yang secara terang2an sampai detik ini masih melakukan praktik korupsi! yang rakyat butuhkan sekarang adalah kerja nyata kalian dpr khususnya komisi iii untuk segera mengesahkan ruu perampasan aset yg udah kalian tarik ulur selama puluhan tahun!!! semua orang di negeri ini udah tau kalau akarnya ada disini!! sampai kapan kalian mau akting dan jadi badut di depan jutaan hidup rakyat kecil yg kalian tindas dan eksploitasi?",mau dari komisi manapun anggota dpr yg duduk di kursi dari dulu selalu sibuk saling menyalahkan berbagai pihak ttg masalah teknikal lah anggaran yg bocor gak tepat sasaran strategi yg kurang tepat lah blalablabla basi semua orang dikambing hitamkan selain fraksi mereka sendiri yang secara terang2an sampai detik ini masih melakukan praktik korupsi yang rakyat butuhkan sekarang adalah kerja nyata kalian dpr khususnya komisi iii untuk segera mengesahkan ruu perampasan aset yg udah kalian tarik ulur selama puluhan tahun semua orang di negeri ini udah tau kalau akarnya ada disini sampai kapan kalian mau akting dan jadi badut di depan jutaan hidup rakyat kecil yg kalian tindas dan eksploitasi,komisi manapun anggota dpr yg duduk kursi sibuk menyalahkan ttg teknikal anggaran yg bocor gak sasaran strategi yg blalablabla basi orang dikambing hitamkan fraksi terang2an detik praktik korupsi rakyat butuhkan kerja nyata dpr komisi iii mengesahkan ruu perampasan aset yg udah tarik ulur puluhan orang negeri udah tau akarnya akting badut jutaan hidup rakyat yg tindas eksploitasi,komisi mana anggota dpr yg duduk kursi sibuk salah ttg teknikal anggar yg bocor gak sasar strategi yg blalablabla basi orang kambing hitam fraksi terang2an detik praktik korupsi rakyat butuh kerja nyata dpr komisi iii kesah ruu ampas aset yg udah tarik ulur puluh orang negeri udah tau akar akting badut juta hidup rakyat yg tindas eksploitasi,komisi anggota dpr duduk kursi sibuk salah ttg teknikal anggar bocor gak sasar strategi blalablabla basi orang kambing hitam fraksi terang2an detik praktik korupsi rakyat butuh kerja nyata dpr komisi iii kesah ruu ampas aset udah tarik ulur puluh orang negeri udah tau akar akting badut juta hidup rakyat tindas eksploitasi
utang banyak karena anggaran tidak berguna merugikan negara aja ‘ uang sitaaan byar utang,utang banyak karena anggaran tidak berguna merugikan negara aja ‘ uang sitaaan byar utang,utang anggaran berguna merugikan negara aja ‘ uang sitaaan byar utang,utang anggar guna rugi negara aja uang sitaaan byar utang,utang anggar rugi negara uang sitaaan byar utang
benci oknum dpr yang sok ke menkeu yang baru,benci oknum dpr yang sok ke menkeu yang baru,benci oknum dpr sok menkeu,benci oknum dpr sok menkeu,benci oknum dpr menkeu
"org yg ngomong di menit 21 ngapain sih. semua yg dia ngomong tu cuma secara umum, ngapain ngomong panjang lebar kalau cuma ngomong secara umum doang.",org yg ngomong di menit 21 ngapain sih semua yg dia ngomong tu cuma secara umum ngapain ngomong panjang lebar kalau cuma ngomong secara umum doang,org yg ngomong menit 21 ngapain sih yg ngomong tu ngapain ngomong lebar ngomong doang,org yg ngomong menit 21 ngapain sih yg ngomong tu ngapain ngomong lebar ngomong doang,org ngomong menit 21 ngapain sih ngomong tu ngapain ngomong lebar ngomong doang
dpr kemana aja kemarin???,dpr kemana aja kemarin,dpr kemana aja kemarin,dpr mana aja kemarin,dpr kemarin
yang paling nggak wamen menkeu krn tidak ada kapebilitasnya dan krn track recordnya  tidak mengetahui keuangan ???,yang paling nggak wamen menkeu krn tidak ada kapebilitasnya dan krn track recordnya tidak mengetahui keuangan,nggak wamen menkeu krn kapebilitasnya krn track recordnya keuangan,nggak wamen menkeu krn kapebilitasnya krn track recordnya uang,nggak wamen menkeu kapebilitasnya track recordnya uang
ini minta dana tambahan buat dikorup ya? serius nanya,ini minta dana tambahan buat dikorup ya serius nanya,dana tambahan dikorup ya serius nanya,dana tambah korup ya serius nanya,dana korup ya serius nanya
pertumbuhan ekonomi ttp tidak stabil.kalo masih negara kita tidak bisa bayar hutang negara.hanya mampu bayar bunga doang dari hutang negara.kalo virus para koruptor masih hidup tidak di binasakan.negara ini ttp jalan  di tempat tidak ada perubahan.walaupun kita kaya dengan sumber daya alamnya.,pertumbuhan ekonomi ttp tidak stabilkalo masih negara kita tidak bisa bayar hutang negarahanya mampu bayar bunga doang dari hutang negarakalo virus para koruptor masih hidup tidak di binasakannegara ini ttp jalan di tempat tidak ada perubahanwalaupun kita kaya dengan sumber daya alamnya,pertumbuhan ekonomi ttp stabilkalo negara bayar hutang negarahanya bayar bunga doang hutang negarakalo virus koruptor hidup binasakannegara ttp jalan perubahanwalaupun kaya sumber daya alamnya,tumbuh ekonomi ttp stabilkalo negara bayar hutang negarahanya bayar bunga doang hutang negarakalo virus koruptor hidup binasakannegara ttp jalan perubahanwalaupun kaya sumber daya alam,tumbuh ekonomi ttp stabilkalo negara bayar hutang negarahanya bayar bunga doang hutang negarakalo virus koruptor hidup binasakannegara ttp jalan perubahanwalaupun kaya sumber daya alam
"udahlah, sekarang gw mau liat kinerja pak menku karena gw denger denger tuh orang emang bagus tapi cara ngomongnya aja yang suka ceplas ceplos. liat kerja nya ada deh daripada di ghosting mulu sama dpr yang sering izin kerja keluar negeri padahal lagi sibuk foto foto alay di tempat mewah 😂
bisa jadi ini juga strategi dpr buat nanti keuangan negara nggak dipegang orang bener. taulah dpr kan koruptor semua 😂😂😂
buktikan kalau anda tidak seperti yang kami pikirkan, apalagi anggota dpr yang meragukan kinerja anda di masa depan. harus pintar pintar jadi rakyat karena kalo enggak ada aja yang suka nyari kesalahan biar yang bener nggak stay 😅

satu lagi, eh dpr lu ngaca ya!
paling parah malah kalian semua, anggota dpr yang jadi beban rakyat. kerja nggak ada hasil tapi digaji terus, dapat tunjangan, udah gitu dana pensiunan lagi!
apa nggak beban banget ?? 😂
malu dikit lah!
sok kritik tapi nggak sadar diri dia lebih parah 😂😂",udahlah sekarang gw mau liat kinerja pak menku karena gw denger denger tuh orang emang bagus tapi cara ngomongnya aja yang suka ceplas ceplos liat kerja nya ada deh daripada di ghosting mulu sama dpr yang sering izin kerja keluar negeri padahal lagi sibuk foto foto alay di tempat mewah bisa jadi ini juga strategi dpr buat nanti keuangan negara nggak dipegang orang bener taulah dpr kan koruptor semua buktikan kalau anda tidak seperti yang kami pikirkan apalagi anggota dpr yang meragukan kinerja anda di masa depan harus pintar pintar jadi rakyat karena kalo enggak ada aja yang suka nyari kesalahan biar yang bener nggak stay satu lagi eh dpr lu ngaca ya paling parah malah kalian semua anggota dpr yang jadi beban rakyat kerja nggak ada hasil tapi digaji terus dapat tunjangan udah gitu dana pensiunan lagi apa nggak beban banget malu dikit lah sok kritik tapi nggak sadar diri dia lebih parah,udahlah gw liat kinerja menku gw denger denger tuh orang emang bagus ngomongnya aja suka ceplas ceplos liat kerja nya deh ghosting mulu dpr izin kerja negeri sibuk foto foto alay mewah strategi dpr keuangan negara nggak dipegang orang bener taulah dpr koruptor buktikan pikirkan anggota dpr meragukan kinerja pintar pintar rakyat kalo aja suka nyari kesalahan biar bener nggak stay eh dpr lu ngaca ya parah anggota dpr beban rakyat kerja nggak hasil digaji tunjangan udah gitu dana pensiunan nggak beban banget malu dikit sok kritik nggak sadar parah,udahlah gw liat kerja menku gw denger denger tuh orang emang bagus ngomongnya aja suka ceplas ceplos liat kerja nya deh ghosting mulu dpr izin kerja negeri sibuk foto foto alay mewah strategi dpr uang negara nggak pegang orang bener tau dpr koruptor bukti pikir anggota dpr ragu kerja pintar pintar rakyat kalo aja suka nyari salah biar bener nggak stay eh dpr lu ngaca ya parah anggota dpr beban rakyat kerja nggak hasil gaji tunjang udah gitu dana pensiun nggak beban banget malu dikit sok kritik nggak sadar parah,udahlah gw liat kerja menku gw denger denger tuh orang emang bagus ngomongnya suka ceplas ceplos liat kerja deh ghosting mulu dpr izin kerja negeri sibuk foto foto alay mewah strategi dpr uang negara nggak pegang orang bener tau dpr koruptor bukti pikir anggota dpr ragu kerja pintar pintar rakyat kalo suka nyari salah biar bener nggak stay eh dpr lu ngaca ya parah anggota dpr beban rakyat kerja nggak hasil gaji tunjang udah gitu dana pensiun nggak beban banget malu dikit kritik nggak sadar parah
