komentar,komentar_bersih,setelah_preprocesing
"masa,kok dpr sdh pensiun masih terima uang pensiunnya, ingat rkyt dibwh,masih bnyk sdg menjerit menangis merenungkan nasip kehidupan sehari"" bhn pokok sembako smkin naik cari kerjapun rkyt masih terasa sulit byk yg masih pengangguran smg pem,segera tlg turunkan hrg beras dn lain2 terimakasih 🙏",masakok dpr sdh pensiun masih terima uang pensiunnya ingat rkyt dibwhmasih bnyk sdg menjerit menangis merenungkan nasip kehidupan sehari bhn pokok sembako smkin naik cari kerjapun rkyt masih terasa sulit byk yg masih pengangguran smg pemsegera tlg turunkan hrg beras dn lain2 terimakasih,masakok dpr sdh pensiun terima uang pensiunnya rkyt dibwhmasih bnyk sdg menjerit menangis merenungkan nasip kehidupan sehari bhn pokok sembako smkin cari kerjapun rkyt sulit byk yg pengangguran smg pemsegera tlg turunkan hrg beras dn lain2 terimakasih
kepada bpk mentri sempga pka purbaya bisa nego soal pebagian hasil dari penjualan hasil sumber daya alam kita sama oligarki sekarang negar rugi pembagian sam oligargi gak adil tloong pak mintri dapar negara 60 persen negara oligarki 40 persen pak mksh,kepada bpk mentri sempga pka purbaya bisa nego soal pebagian hasil dari penjualan hasil sumber daya alam kita sama oligarki sekarang negar rugi pembagian sam oligargi gak adil tloong pak mintri dapar negara 60 persen negara oligarki 40 persen pak mksh,bpk mentri sempga pka purbaya nego pebagian hasil penjualan hasil sumber daya alam oligarki negar rugi pembagian sam oligargi gak adil tloong mintri dapar negara 60 persen negara oligarki 40 persen mksh
"jika lembaran uang betedar cepat di masyarakat bisa sejahteakan rakyat.
tapi kalau uang hanya ada di dan di simpan di para konglomerat dan di endapkan para koruptor pasti uang beku dan rakyat aengsara.
edarkan uang di rakyat sebanyak banyaknya. agar rakyat ridak kesulitan mendapatkan nya",jika lembaran uang betedar cepat di masyarakat bisa sejahteakan rakyat tapi kalau uang hanya ada di dan di simpan di para konglomerat dan di endapkan para koruptor pasti uang beku dan rakyat aengsara edarkan uang di rakyat sebanyak banyaknya agar rakyat ridak kesulitan mendapatkan nya,lembaran uang betedar cepat masyarakat sejahteakan rakyat uang simpan konglomerat endapkan koruptor uang beku rakyat aengsara edarkan uang rakyat banyaknya rakyat ridak kesulitan nya
para tukus got lg mengajari menkeu baru,para tukus got lg mengajari menkeu baru,tukus got lg mengajari menkeu
sangat terass kesulitan ekonomi di daerah  sulit passr sepi,sangat terass kesulitan ekonomi di daerah sulit passr sepi,terass kesulitan ekonomi daerah sulit passr sepi
semoga pak mentri mantu tarik pajak dari youtob dan gugel tarik ajak mereka berdua untuk negara,semoga pak mentri mantu tarik pajak dari youtob dan gugel tarik ajak mereka berdua untuk negara,semoga mentri mantu tarik pajak youtob gugel tarik ajak berdua negara
😂😂😂iya,iya,iya
"perbaruan harus disambut dengan harapan positif,, mudah2an beliau amanah",perbaruan harus disambut dengan harapan positif mudah2an beliau amanah,perbaruan disambut harapan positif mudah2an beliau amanah
"jaelas harus d sukung.awmoga ada perubahan.dpr nya bertahun2 begitu1 saja tidak ada perubahan,bisanya cuma ngomong sajaaudah nyaman dengan yg dulu.dengan adanya mentri baru kebijakan akan berubah dan tidak akan menguntungkan para tikus1 itu 😀😀",jaelas harus d sukungawmoga ada perubahandpr nya bertahun2 begitu1 saja tidak ada perubahanbisanya cuma ngomong sajaaudah nyaman dengan yg duludengan adanya mentri baru kebijakan akan berubah dan tidak akan menguntungkan para tikus1 itu,jaelas d sukungawmoga perubahandpr nya bertahun2 begitu1 perubahanbisanya ngomong sajaaudah nyaman yg duludengan mentri kebijakan berubah menguntungkan tikus1
kalo mau efisiensi ya menyeluruh di segala aspek,kalo mau efisiensi ya menyeluruh di segala aspek,kalo efisiensi ya aspek
"nah gini dong dari kemarin² saling mengawasi bukan cuma tanda tangan , kan gk perlu ada demo²an",nah gini dong dari kemarin² saling mengawasi bukan cuma tanda tangan kan gk perlu ada demo²an,gini kemarin² mengawasi tanda tangan gk demo²an
dpr juga wajib efisiensi,dpr juga wajib efisiensi,dpr wajib efisiensi
dpr nyrocos uwang rakyat mikirrrrrr sok irit belum kerja mentri dah sok ngguruin,dpr nyrocos uwang rakyat mikirrrrrr sok irit belum kerja mentri dah sok ngguruin,dpr nyrocos uwang rakyat mikirrrrrr sok irit kerja mentri dah sok ngguruin
"berantas pungli dan ormas nakal, perbaiki penegak hukum dan petugas hukum. gw yakin indonesia akan bertumbuh 2 digit",berantas pungli dan ormas nakal perbaiki penegak hukum dan petugas hukum gw yakin indonesia akan bertumbuh 2 digit,berantas pungli ormas nakal perbaiki penegak hukum petugas hukum gw indonesia bertumbuh 2 digit
itu potensi anggaran sudah ada bukan suru pergi cari anggaran tinggal kelola dan minits uang negara tepat sasaran itu tujuan dari keinginan rakyat biasa kalau kaya kami cari dulu uang baru bisa makan benar betul.🤟,itu potensi anggaran sudah ada bukan suru pergi cari anggaran tinggal kelola dan minits uang negara tepat sasaran itu tujuan dari keinginan rakyat biasa kalau kaya kami cari dulu uang baru bisa makan benar betul🤟,potensi anggaran suru pergi cari anggaran tinggal kelola minits uang negara sasaran tujuan rakyat kaya cari uang makan betul🤟
"itu jatah kursi kosong siapa itu yang tidak hadir.

himbau kepada dewan kehormatan dpr agar beri sanksi bagi petugas kewenangan yang tidak hadir rapat, hingga pulangin ke daerah asal.",itu jatah kursi kosong siapa itu yang tidak hadir himbau kepada dewan kehormatan dpr agar beri sanksi bagi petugas kewenangan yang tidak hadir rapat hingga pulangin ke daerah asal,jatah kursi kosong hadir himbau dewan kehormatan dpr sanksi petugas kewenangan hadir rapat pulangin daerah
"naikan gaji guru2,, agar ekonomi bergerak di daerah daerah,,,,",naikan gaji guru2 agar ekonomi bergerak di daerah daerah,naikan gaji guru2 ekonomi bergerak daerah daerah
"gak usah omon2,,,

hari ni , sy kirim uang ringgit malaysia ke indonesia,, dan yg mengejutkan itu, tukaran ringgit ke rupiah sangat2 menghawatirkan,, tukaran nya 1 ringgit mencapai 3960.00,,,",gak usah omon2 hari ni sy kirim uang ringgit malaysia ke indonesia dan yg mengejutkan itu tukaran ringgit ke rupiah sangat2 menghawatirkan tukaran nya 1 ringgit mencapai 396000,gak omon2 ni sy kirim uang ringgit malaysia indonesia yg mengejutkan tukaran ringgit rupiah sangat2 menghawatirkan tukaran nya 1 ringgit mencapai 396000
ayo seluruh rakyat indonesia cepuin terus kinerja dpr dan kemenkeu dan lihat nanti hasilnya dilapangan jan bisanya demo demo mlu,ayo seluruh rakyat indonesia cepuin terus kinerja dpr dan kemenkeu dan lihat nanti hasilnya dilapangan jan bisanya demo demo mlu,ayo rakyat indonesia cepuin kinerja dpr kemenkeu lihat hasilnya dilapangan jan bisanya demo demo mlu
"gaji, tunjangan semua anggota dpr dan para pejabat serta aparat harus efisiensi jg harus di pangkas! matikan korupsi! indonesia ini kaya banget bos cuman yg ngerugiin lu pada! pajak lu pada aja rakyat yg bayarin!",gaji tunjangan semua anggota dpr dan para pejabat serta aparat harus efisiensi jg harus di pangkas matikan korupsi indonesia ini kaya banget bos cuman yg ngerugiin lu pada pajak lu pada aja rakyat yg bayarin,gaji tunjangan anggota dpr pejabat aparat efisiensi jg pangkas matikan korupsi indonesia kaya banget bos cuman yg ngerugiin lu pajak lu aja rakyat yg bayarin
mas bikin ini monyrt  nyinyir koyi sengkuni titusan amin raiiis mosbikun ini genderewo bya dpr r1,mas bikin ini monyrt nyinyir koyi sengkuni titusan amin raiiis mosbikun ini genderewo bya dpr r1,mas bikin monyrt nyinyir koyi sengkuni titusan amin raiiis mosbikun genderewo bya dpr r1
"pak menkeu jaga uang rakyat dan apabila ada yg minta anggaran hendaknya ""dikomunikasikan dg rakyat/masy """,pak menkeu jaga uang rakyat dan apabila ada yg minta anggaran hendaknya dikomunikasikan dg rakyatmasy,menkeu jaga uang rakyat yg anggaran dikomunikasikan dg rakyatmasy
"jangan harap indonesia emas, kalo pejabatnya masih doyan korupsi!!! kocak emang 😂",jangan harap indonesia emas kalo pejabatnya masih doyan korupsi kocak emang,harap indonesia emas kalo pejabatnya doyan korupsi kocak emang
"betul ,tegaskan mentri br ini",betul tegaskan mentri br ini,tegaskan mentri br
dpr adalah dompetnya partai partai!!,dpr adalah dompetnya partai partai,dpr dompetnya partai partai
fungsi kontrol / pengawasan apbn mesti jalan.,fungsi kontrol pengawasan apbn mesti jalan,fungsi kontrol pengawasan apbn mesti jalan
pa meken jelas 100 jompol pa.,pa meken jelas 100 jompol pa,pa meken 100 jompol pa
"bahkan rakyat saja tidak ada yg percaya sama wakilnya😂,di demo pada kabur,😅",bahkan rakyat saja tidak ada yg percaya sama wakilnyadi demo pada kabur,rakyat yg percaya wakilnyadi demo kabur
"biarkan dulu menkeu bekerja, jgn banyak pesimis, tp sama2 bekerja 7an sama sy yakin ad hasil,,kalo slalu psimis kritik negatif dak sudah ap lagi berhasil.",biarkan dulu menkeu bekerja jgn banyak pesimis tp sama2 bekerja 7an sama sy yakin ad hasilkalo slalu psimis kritik negatif dak sudah ap lagi berhasil,biarkan menkeu jgn pesimis tp sama2 7an sy ad hasilkalo slalu psimis kritik negatif dak ap berhasil
"dobol ngomong apa itu anggota dpr hanya tukang stempel meras rakyat,dobol dobol",dobol ngomong apa itu anggota dpr hanya tukang stempel meras rakyatdobol dobol,dobol ngomong anggota dpr tukang stempel meras rakyatdobol dobol
"ya allah kenapa saya tidak bisa berhenti suudzon kepada orang2 yg ada di video ini😢,,pada pintar2,cerdas,intelek tapi oknum orang jujur entah ada atau tidak disana",ya allah kenapa saya tidak bisa berhenti suudzon kepada orang2 yg ada di video inipada pintar2cerdasintelek tapi oknum orang jujur entah ada atau tidak disana,ya allah berhenti suudzon orang2 yg video inipada pintar2cerdasintelek oknum orang jujur disana
"pangkas anggran ,tunjangan dll  di dpr,biar uang nya utk membantu perekonomian di indonesia.❤",pangkas anggran tunjangan dll di dprbiar uang nya utk membantu perekonomian di indonesia,pangkas anggran tunjangan dll dprbiar uang nya utk membantu perekonomian indonesia
"anggota dpr yang lain omon-omon. joss dpr perwakilan lampung, pak marwan, rakyat tidak salah pilih ni. pak menkeu, gas kan.",anggota dpr yang lain omonomon joss dpr perwakilan lampung pak marwan rakyat tidak salah pilih ni pak menkeu gas kan,anggota dpr omonomon joss dpr perwakilan lampung marwan rakyat salah pilih ni menkeu gas
"wkwk.kemenkeu di suruh efisiensi buat menghemt anggaran, lah dpr juga bocor parah pak dlm menghabiskan anggaran negara",wkwkkemenkeu di suruh efisiensi buat menghemt anggaran lah dpr juga bocor parah pak dlm menghabiskan anggaran negara,wkwkkemenkeu suruh efisiensi menghemt anggaran dpr bocor parah dlm menghabiskan anggaran negara
tunjangan negara habis buat gaji kalian,tunjangan negara habis buat gaji kalian,tunjangan negara habis gaji
akumulasi percepatan perencanaan pelaksanaan kerja anggaran. managemen waktu yg tepat.,akumulasi percepatan perencanaan pelaksanaan kerja anggaran managemen waktu yg tepat,akumulasi percepatan perencanaan pelaksanaan kerja anggaran managemen yg
"pangkas semua fasilitas dpr, itu br kejutan!",pangkas semua fasilitas dpr itu br kejutan,pangkas fasilitas dpr br kejutan
dpr memang di beri tugas untuk berbicara sehingga saking asyiknya bicara terkadang tdk terkontrol sampai-sampai membuat masyarakat marah yg akhirnya terjadi demo.,dpr memang di beri tugas untuk berbicara sehingga saking asyiknya bicara terkadang tdk terkontrol sampaisampai membuat masyarakat marah yg akhirnya terjadi demo,dpr tugas berbicara saking asyiknya bicara terkadang tdk terkontrol sampaisampai masyarakat marah yg demo
"sebenarnya kebocoran keuangan negara ada di dpr.sprti berita kmrin2 kasus bank indonesia ,ada dana mengalir ke anggota dpr ri.",sebenarnya kebocoran keuangan negara ada di dprsprti berita kmrin2 kasus bank indonesia ada dana mengalir ke anggota dpr ri,kebocoran keuangan negara dprsprti berita kmrin2 bank indonesia dana mengalir anggota dpr ri
percepat aja uu perampasan aset jangan kemana mana dulu.,percepat aja uu perampasan aset jangan kemana mana dulu,percepat aja uu perampasan aset kemana
alokasi tepat guna dan berguna.,alokasi tepat guna dan berguna,alokasi berguna
inovasi barang jadi dgn nilai jual berimbang/tinggi,inovasi barang jadi dgn nilai jual berimbangtinggi,inovasi barang dgn nilai jual berimbangtinggi
si gundul ini siapa namanya,si gundul ini siapa namanya,si gundul namanya
yg dirubah dpr'ny!!,yg dirubah dprny,yg dirubah dprny
😂dpr nya pada galak,dpr nya pada galak,dpr nya galak
"mahasiswa dan rakyat segera menunjuk bpk.tom lembong untuk jadi ketua dpr yang baru.sangat dibutuhkan kwalitas seperti bpk tom lembong,yang sedikit bicara,cerdas dan terbukti jujur.beliau tdk mau makan uang haram.",mahasiswa dan rakyat segera menunjuk bpktom lembong untuk jadi ketua dpr yang barusangat dibutuhkan kwalitas seperti bpk tom lembongyang sedikit bicaracerdas dan terbukti jujurbeliau tdk mau makan uang haram,mahasiswa rakyat bpktom lembong ketua dpr barusangat dibutuhkan kwalitas bpk tom lembongyang bicaracerdas terbukti jujurbeliau tdk makan uang haram
inti nya bpk prabowo hrs tegas.lbh baik bubar kan dpr,inti nya bpk prabowo hrs tegaslbh baik bubar kan dpr,inti nya bpk prabowo hrs tegaslbh bubar dpr
merombak yg di lakukan sri seblm nya menyakiti rakyat danakan menghapus ke bijakan yg menyusah kan rakyat.,merombak yg di lakukan sri seblm nya menyakiti rakyat danakan menghapus ke bijakan yg menyusah kan rakyat,merombak yg lakukan sri seblm nya menyakiti rakyat danakan menghapus bijakan yg menyusah rakyat
dpr yg ngak mampu!!,dpr yg ngak mampu,dpr yg ngak
"emang itu tugasnya parle ( bicara) hatus rmang jago bicara untuk bernegosiasi
yang jadi problem adalah bicara diatas krjijuran ataukebohongsn , itu saja",emang itu tugasnya parle bicara hatus rmang jago bicara untuk bernegosiasi yang jadi problem adalah bicara diatas krjijuran ataukebohongsn itu saja,emang tugasnya parle bicara hatus rmang jago bicara bernegosiasi problem bicara diatas krjijuran ataukebohongsn
"markus mekeng sama misbakun carmuk doang, lu gainget apa statment lu",markus mekeng sama misbakun carmuk doang lu gainget apa statment lu,markus mekeng misbakun carmuk doang lu gainget statment lu
"gaji dpr cukup 20jt/bln 
indonesia pasti bisa menuju lbh baik dan indonesia emas",gaji dpr cukup 20jtbln indonesia pasti bisa menuju lbh baik dan indonesia emas,gaji dpr 20jtbln indonesia lbh indonesia emas
"petama bicara dgn wartawan habis pelantikan sudah jumawa menkeu, tak yakin bakal lebih amburadul nih bangsa",petama bicara dgn wartawan habis pelantikan sudah jumawa menkeu tak yakin bakal lebih amburadul nih bangsa,petama bicara dgn wartawan habis pelantikan jumawa menkeu amburadul nih bangsa
dpr itu kerja nya apa. rakyat minta uu perampasan aset koruptor.segera di sahkan.,dpr itu kerja nya apa rakyat minta uu perampasan aset koruptorsegera di sahkan,dpr kerja nya rakyat uu perampasan aset koruptorsegera sahkan
asalamualaikum.bkn kah tututan rakyat bubar kan dpr.rakyat mkn ssh..untk apa ada dpr,asalamualaikumbkn kah tututan rakyat bubar kan dprrakyat mkn sshuntk apa ada dpr,asalamualaikumbkn kah tututan rakyat bubar dprrakyat mkn sshuntk dpr
kementrian keuangan sedang urbanisasi sebelum jadi boyo jadi biawak dulu terus jadi tekek terus jadi cicak pengalaman dari hutang rp. 3500.- t sampai rp. 8000._ t. hitungan makan bergizi  telurnya dibeli tetap mengeluarkan dari duit ngutang untuk ekonomi seimbang misal tanam padi sawit perlu pupuk produksi meningkat pangan cukup dan duit pupuk bisa kembali ke khas negara lagi.,kementrian keuangan sedang urbanisasi sebelum jadi boyo jadi biawak dulu terus jadi tekek terus jadi cicak pengalaman dari hutang rp 3500 t sampai rp 8000 t hitungan makan bergizi telurnya dibeli tetap mengeluarkan dari duit ngutang untuk ekonomi seimbang misal tanam padi sawit perlu pupuk produksi meningkat pangan cukup dan duit pupuk bisa kembali ke khas negara lagi,kementrian keuangan urbanisasi boyo biawak tekek cicak pengalaman hutang rp 3500 t rp 8000 t hitungan makan bergizi telurnya dibeli mengeluarkan duit ngutang ekonomi seimbang tanam padi sawit pupuk produksi meningkat pangan duit pupuk khas negara
"misbakhun pulangin uang yg you pakai jalan2 ke australia, ngak ada manfaat.",misbakhun pulangin uang yg you pakai jalan2 ke australia ngak ada manfaat,misbakhun pulangin uang yg you pakai jalan2 australia ngak manfaat
bicara anggaran pendidikan utk apa?? emang sekolah gratiskah?? bayar gedung bayar seragam beli buku di sekolah dan iuran spp bp3 perbulan itu dari murid 😂😂😂😂,bicara anggaran pendidikan utk apa emang sekolah gratiskah bayar gedung bayar seragam beli buku di sekolah dan iuran spp bp3 perbulan itu dari murid,bicara anggaran pendidikan utk emang sekolah gratiskah bayar gedung bayar seragam beli buku sekolah iuran spp bp3 perbulan murid
😊,,
pak mekeng 👍,pak mekeng,mekeng
mn ga ada jawaban mentri ya,mn ga ada jawaban mentri ya,mn ga mentri ya
"pangkas tunjangan dpr, seperti pensiun di hapus dan tunjangan lainnya klo perlu bubarkqn",pangkas tunjangan dpr seperti pensiun di hapus dan tunjangan lainnya klo perlu bubarkqn,pangkas tunjangan dpr pensiun hapus tunjangan klo bubarkqn
